address,origin_key,name,owner_project,usage_category
0x06450dee7fd2fb8e39061434babcfc05599a6fb8,ethereum,XEN Crypto,xen-crypto-faircrypto,fungible_tokens
0x0a2a015a15a8e019abc386fee88b8a6d7a0d90df,ethereum,Machina,,fungible_tokens
0x0a6e7ba5042b38349e437ec6db6214aec7b35676,ethereum,Swell Governance Token,swellnetwork,fungible_tokens
0x0b4f75087d3452e538b5781efdac6bc02b3ff9b5,ethereum,Silly Dragon,,fungible_tokens
0x0f5d2fb29fb7d3cfee444a200298f468908cc942,ethereum,Decentraland MANA,decentraland,fungible_tokens
0x111111111117dc0aa78b770fa6a738034120c302,ethereum,1INCH Token,1inch-exchange,fungible_tokens
0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,ethereum,GALA,galagames,fungible_tokens
0x17d2fd348d70035c4c03d740f435cf4e028812e9,ethereum,Goatseus Maximus,,fungible_tokens
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,ethereum,UNI,uniswap,fungible_tokens
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ethereum,Wrapped BTC,,fungible_tokens
0x24fcfc492c1393274b6bcd568ac9e225bec93584,ethereum,MAVIA,mavia-gg,fungible_tokens
0x26e550ac11b26f78a04489d5f20f24e3559f7dd9,ethereum,Kekius Maximus,,fungible_tokens
0x28f9b9aa3b885d67abb298491bbba65171c3392e,ethereum,RatsMeme,,fungible_tokens
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,ethereum,HEX,pulsechain,fungible_tokens
0x31d70b48f653d487981076f02becfbb8f46daf3f,ethereum,Solaxy $SOLX,,fungible_tokens
0x3506424f91fd33084466f402d5d97f05f8e3b4af,ethereum,CHZ,chiliz,fungible_tokens
0x35fa164735182de50811e8e2e824cfb9b6118ac2,ethereum,ether.fi ETH,etherfi,fungible_tokens
0x36e66fbbce51e4cd5bd3c62b637eb411b18949d4,ethereum,Omni Network,omni-network,fungible_tokens
0x3845badade8e6dff049820680d1f14bd3903a5d0,ethereum,SAND,sandbox,fungible_tokens
0x3a6d8e00932646be8217fe237555fe362cb9b98d,ethereum,EveOneCat,,fungible_tokens
0x3b50805453023a91a8bf641e279401a0b23fa6f9,ethereum,Renzo,renzo-protocol,fungible_tokens
0x3e8bdcf35e05698a3e3fe259ea508524493f5800,ethereum,DaramEgg,,fungible_tokens
0x3e9c3dc19efe4271d1a65facfca55906045f7b08,ethereum,Frogs,,fungible_tokens
0x4567af93d029dccc128faeb0ba33452b3375155f,ethereum,EveOneCat,,fungible_tokens
0x4a220e6096b25eadb88358cb44068a3248254675,ethereum,QNT,quantnetwork,fungible_tokens
0x4c1746a800d224393fe2470c70a35717ed4ea5f1,ethereum,Plume,plumenetwork,fungible_tokens
0x4d1c297d39c5c1277964d0e3f8aa901493664530,ethereum,PUFFER,puffer-fi,fungible_tokens
0x4d224452801aced8b2f0aebe155379bb5d594381,ethereum,ApeCoin,,fungible_tokens
0x4e15361fd6b4bb609fa63c81a2be19d873717870,ethereum,Fantom Token,,fungible_tokens
0x502ed02100ea8b10f8d7fc14e0f86633ec2ddada,ethereum,🐼,,fungible_tokens
0x514910771af9ca656af840dff83e8264ecf986ca,ethereum,ChainLink Token,chainlink,fungible_tokens
0x528253715ff4eb9d6923b3ff401fcb1662ac7d66,ethereum,Journey cat,,fungible_tokens
0x52835b920d4eeb6f44d3ebb356662597e1733f34,ethereum,BlackHole,,fungible_tokens
0x5283d291dbcf85356a21ba090e6db59121208b44,ethereum,BLUR,blur-io,fungible_tokens
0x576e2bed8f7b46d34016198911cdf9886f78bea7,ethereum,MAGA,,fungible_tokens
0x57e114b691db790c35207b2e685d4a43181e6061,ethereum,ENA,ethena-labs,fungible_tokens
0x58b6a8a3302369daec383334672404ee733ab239,ethereum,Livepeer Token,livepeer,fungible_tokens
0x5b7533812759b45c2b44c19e320ba2cd2681b542,ethereum,AGIX,singnet,fungible_tokens
0x64bc2ca1be492be7185faa2c8835d9b824c8a194,ethereum,Big Time,bigtime-gg,fungible_tokens
0x668b46679508ed40b0934167fdcdb388f11edf54,ethereum,DOG,,fungible_tokens
0x6982508145454ce325ddbe47a25d4ec3d2311933,ethereum,PEPE,,fungible_tokens
0x6aa56e1d98b3805921c170eb4b3fe7d4fda6d89b,ethereum,MAGA,,fungible_tokens
0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,ethereum,Render Token,rendernetwork,fungible_tokens
0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,ethereum,JasmyCoin,,fungible_tokens
0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,ethereum,Dogelon,,fungible_tokens
0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,ethereum,Matic Token (old),0xpolygon,fungible_tokens
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,ethereum,Aave Token,aave,fungible_tokens
0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,ethereum,ALT,alt-research,fungible_tokens
0x88909d489678dd17aa6d9609f89b0419bf78fd9a,ethereum,L3,layer3xyz,fungible_tokens
0x8cc51c532f5a71210d19d87d3d8a1e6f50ad583c,ethereum,Mind of Pepe $MIND,,fungible_tokens
0x8cefbeb2172a9382753de431a493e21ba9694004,ethereum,Melania Trump,,fungible_tokens
0x92d6c1e31e14520e676a687f0a93788b716beff5,ethereum,dYdX,dydx,fungible_tokens
0x946fb08103b400d1c79e07acccdef5cfd26cd374,ethereum,KIP Protocol,kip-protocol,fungible_tokens
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,ethereum,SHIBA INU,,fungible_tokens
0x97a9a15168c22b3c137e6381037e1499c8ad0978,ethereum,DOP,dop-org,fungible_tokens
0x9813037ee2218799597d83d4a5b6f3b6778218d9,ethereum,BONE SHIBASWAP,,fungible_tokens
0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,ethereum,CRO,crypto-com,fungible_tokens
0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,ethereum,Chain,onyx-protocol,fungible_tokens
0xa35923162c49cf95e6bf26623385eb431ad920d3,ethereum,Turbo,,fungible_tokens
0xab174ce3af7236fa4b56d1003c2a1d4e04931110,ethereum,DuckAI,,fungible_tokens
0xabd4c63d2616a5201454168269031355f4764337,ethereum,ORDER,orderlynetwork,fungible_tokens
0xad86b91a1d1db15a4cd34d0634bbd4ecacb5b61a,ethereum,DARAM,,fungible_tokens
0xadd39272e83895e7d3f244f696b7a25635f34234,ethereum,Pepe Unchained,,fungible_tokens
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,ethereum,stETH,lido,fungible_tokens
0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,ethereum,FET,fetchai,fungible_tokens
0xb08fbe0e46c284c002d7718b992c7022aa1f061e,ethereum,ThankYouSatoshi,,fungible_tokens
0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,ethereum,MEMECOIN,,fungible_tokens
0xb48eb8368c9c6e9b0734de1ef4ceb9f484b80b9c,ethereum,VMPX,,fungible_tokens
0xb528edbef013aff855ac3c50b381f253af13b997,ethereum,AEVO,aevoxyz,fungible_tokens
0xbbbb2d4d765c1e455e4896a64ba3883e914abbbb,ethereum,BitmapPunks,,fungible_tokens
0xbe0ed4138121ecfc5c0e56b40517da27e6c5226b,ethereum,ATH,aethir,fungible_tokens
0xbe9895146f7af43049ca1c1ae358b0541ea49704,ethereum,Coinbase Wrapped Staked ETH,coinbase,fungible_tokens
0xbf5495efe5db9ce00f80364c8b423567e58d2110,ethereum,Renzo Restaked ETH,renzo-protocol,fungible_tokens
0xc4441c2be5d8fa8126822b9929ca0b81ea0de38e,ethereum,USUAL,,fungible_tokens
0xc555d625828c4527d477e595ff1dd5801b4a600e,ethereum,MON,mon-protocol,fungible_tokens
0xc71b5f631354be6853efe9c3ab6b9590f8302e81,ethereum,PolyhedraNetworkToken,polyhedra-network,fungible_tokens
0xc944e90c64b2c07662a292be6244bdf05cda44a7,ethereum,Graph Token,graph-protocol,fungible_tokens
0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,ethereum,Wrapped eETH,etherfi,fungible_tokens
0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,ethereum,FLOKI,,fungible_tokens
0xd1d2eb1b1e90b638588728b4130137d262c87cae,ethereum,GALA,galagames,fungible_tokens
0xd26114cd6ee289accf82350c8d8487fedb8a0c07,ethereum,OMGToken,,fungible_tokens
0xd31a59c85ae9d8edefec411d448f90841571b89c,ethereum,Wrapped SOL,solana-labs,fungible_tokens
0xd9a442856c234a39a81a089c06451ebaa4306a72,ethereum,pufETH,puffer-fi,fungible_tokens
0xddcf9101a653053caabb692de87e1f13396be092,ethereum,DepositTubes,,fungible_tokens
0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,ethereum,GTC,gitcoin,fungible_tokens
0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c,ethereum,SPX6900,,fungible_tokens
0xe217e15b3c19cc0427f9492dc3bcfe8220afad10,ethereum,WLFI,,fungible_tokens
0xe9698590b128598ea952ca19743be4480229e510,ethereum,Ghosties,,fungible_tokens
0xec53bf9167f50cdeb3ae105f56099aaab9061f83,ethereum,EIGEN,0xeigenlabs,fungible_tokens
0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,ethereum,TITANX,,fungible_tokens
0xf411903cbc70a74d22900a5de66a2dda66507255,ethereum,VERA,verasity-io,fungible_tokens
0xf41fd657406e6fd1c278e57f7d6d61749a2389a1,ethereum,MOONRAY GODSPAWN,,fungible_tokens
0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,ethereum,IMX,immutable,fungible_tokens
0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ethereum,Enjin Coin,enjin,fungible_tokens
0xf63e309818e4ea13782678ce6c31c1234fa61809,ethereum,Janet,,fungible_tokens
0xf951e335afb289353dc249e82926178eac7ded78,ethereum,swETH,swellnetwork,fungible_tokens
0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,ethereum,Ether.fi governance token,etherfi,fungible_tokens
0xfef2359e77df8b769760d62cbb5ee676fe78f6c2,ethereum,XEN Turbo Miner,xen-crypto-faircrypto,fungible_tokens
0xff37b4ee7981af82669b2fd0e998f0b5649dcedd,ethereum,Eth69,,fungible_tokens